ParticipantID,Profile,T1,T2,T3,Drift
P001,High-Drift,64.23521368855054,67.37781064472966,76.91459842145312,12.679384732902577
P002,High-Drift,68.85363435383611,66.94630981374499,72.94638369372869,4.092749339892578
P003,High-Drift,69.10645766978327,71.4534562811881,71.88736526329272,2.780907593509454
P004,High-Drift,64.44152019613684,65.91462038234393,71.90421610893384,7.4626959127970025
P005,High-Drift,63.08883022204715,59.39023889903991,66.23786975369136,3.149039531644206
P006,High-Drift,59.46970611841562,63.44225995849509,75.41411299667874,15.944406878263116
P007,High-Drift,57.91389166015455,61.64463334399119,80.595419460147,22.681527799992452
P008,High-Drift,60.98400664781059,68.30387692109565,67.58863316203944,6.604626514228855
P009,High-Drift,59.55027773963668,68.4991516536944,68.82052890159963,9.270251161962953
P010,High-Drift,63.69064108255552,65.29712589536538,72.68737812593025,8.99673704337473
P011,High-Drift,59.29232024496771,76.33525183029022,73.9392624886793,14.646942243711592
P012,High-Drift,57.24030081969845,71.70145210446435,68.5062035751304,11.265902755431952
P013,High-Drift,62.9398861775214,59.181484442541006,68.02316277995706,5.08327660243566
P014,High-Drift,62.885875561411055,71.32309960997935,74.77115726535487,11.885281703943818
P015,High-Drift,61.47958272925292,66.6450333698482,67.34665104334658,5.867068314093665
P016,High-Drift,58.76070106222381,65.92712553068095,78.75705001798512,19.996348955761313
P017,Moderate-Drift,59.54628230305808,53.5663193008677,66.45837786227658,6.9120955592185
P018,Moderate-Drift,56.26712973812658,58.45385099862319,67.75254329978391,11.485413561657332
P019,Moderate-Drift,62.63949785123178,65.69076053602289,61.223521145498125,-1.4159767057336552
P020,Moderate-Drift,56.608544308669536,62.99068544131604,69.38995307205062,12.78140876338108
P021,Moderate-Drift,55.843715929696195,60.664534605012825,60.02149261697287,4.177776687276676
P022,Moderate-Drift,52.617070191636984,65.15636620077389,71.1030801285687,18.486009936931723
P023,Moderate-Drift,57.6759544528885,66.0158980405141,66.62736211271435,8.951407659825854
P024,Moderate-Drift,55.09696110427694,63.12628022478786,71.92116454909686,16.824203444819915
P025,Moderate-Drift,57.83878282400522,68.54089645116302,53.21114703159615,-4.627635792409073
P026,Moderate-Drift,61.698561269688504,61.89171180707177,63.654466922903595,1.9559056532150905
P027,Moderate-Drift,58.41292349440976,52.55593988429598,64.01147650473119,5.598553010321432
P028,Moderate-Drift,59.607006571802856,68.15052320133682,62.66778401776859,3.0607774459657335
P029,Moderate-Drift,54.36177878698066,59.24209330386959,69.11930952965933,14.757530742678675
P030,Moderate-Drift,59.479379993468584,59.11607908304833,67.3097034490101,7.830323455541517
P031,Moderate-Drift,58.43684897206618,65.858902457398,61.84076107755192,3.4039121054857375
P032,Moderate-Drift,56.525520340310045,59.73551331090529,58.41418273340547,1.888662393095423
P033,Low-Drift,56.33254124679059,57.174748724809504,57.02301055489107,0.6904693081004822
P034,Low-Drift,53.94435789981184,49.63083166077314,55.107096047555885,1.1627381477440437
P035,Low-Drift,53.45778467562954,52.38975228850271,56.27421429750296,2.816429621873418
P036,Low-Drift,56.818228855665424,64.48783655544739,57.785600157743275,0.9673713020778507
P037,Low-Drift,56.15897675825244,55.66499337905225,48.365529531154316,-7.793447227098127
P038,Low-Drift,54.88068756047853,56.27103594473462,68.08458950618379,13.203901945705262
P039,Low-Drift,54.13437565848495,57.356963040501256,56.84379703632641,2.7094213778414584
P040,Low-Drift,49.74094883071211,61.14270266531759,60.38369864709048,10.642749816378377
P041,Low-Drift,58.559643761693714,51.90775645342367,63.312574399212444,4.75293063751873
P042,Low-Drift,48.691670217434734,58.640856922101214,66.8570503161449,18.165380098710173
P043,Low-Drift,50.542586536911905,53.45166021678752,57.448431142894385,6.90584460598248
P044,Low-Drift,52.7343595564771,49.0220145602024,57.308533386627126,4.574173830150023
P045,Low-Drift,50.21963328823253,58.13116593785832,52.862590945947886,2.642957657715357
P046,Low-Drift,61.97470482257893,52.47536018448693,55.55072317707446,-6.423981645504469
P047,Low-Drift,58.66082747816351,50.461110576047204,58.023569705718586,-0.6372577724449258
P048,Low-Drift,60.88214239427093,48.766325444474475,57.830852363395366,-3.0512900308755633
